example_id,problem,gold answer
d0c3a1c766,Identify the head coach of the team that achieved a season sweep against the Pittsburgh Steelers during the final year of the Steelers' head coach who had also led them to Super Bowl XXX.,Brian Billick
8f4f05387c,"What is the name of the composer who scored his first fully animated film soundtrack using unique instrumentation like chromatically tuned glass bottles, whose contemporary also composed a score influenced by a prolific film composer known for scoring films such as 'Tora! Tora! Tora!' and whose work also featured the song ""(Don't Fear) The Reaper"" by Blue Öyster Cult?",Kris Bowers
1bfc94c4cc,"Identify the language of the 17th-century poet who famously composed 31 stanzas without using any labial sounds, if the year a translated poetry collection (which was later incorporated into Pondicherry University's M.A. Hindi program) was published is 59 years after the birth year of a poet who refused a state literary award in 2016.",Tamil
77b349e416,"An Indian non-profit organization, known for its anti-ragging campaigns and whose national coordinator, an IIT-Kanpur alumnus, appeared on an Indian television show anchored by a famous superstar, was formed in October 2005 following a student's death. In a later year, a consultant's report, covered by a Wikipedia publication in January, detailed the failure of a global education program's India pilot. This same Wikipedia publication's October issue of that year also noted the marriage of Wikipedia's co-founder to a former aide of the Prime Minister whose government, in a still earlier year, passed major education legislation that notably banned corporal punishment in all schools. What percentage of student-produced content survived after necessary clean-up in the aforementioned failed India pilot?",21%
e6943908c9,"What is the establishment year of the Jain religious minority engineering college in Thane, affiliated with the University of Mumbai, given that another engineering college in Mumbai, catering to a different religious minority and also affiliated with the University of Mumbai, was established 3 years before the Information Technology program was launched at the public technical university that was founded in 1960 and later merged its IT program with Computer Science and Engineering in 2013?",2014
4adb736092,"What is the name of the French music duo whose second single, which featured a bilingual French/Portuguese version, was released in the same month as the music video premiere of a New Zealand boy band's song that was filmed on a 70 ft classic schooner, and whose country of origin is different from the American boy band whose music video famously depicted them performing with unbuttoned shirts in the rain?",Flavel & Neto
fc9dc79183,"What is the name of the flowering plant species, endemic to California, that is known for its five hollow spurred petals, and whose flowers have a sepal count that differs from that of an African shrub genus with four sepals and stamens merged into an androgynophore, and also differs from the sepal count of another African genus whose flowers consistently have three sepals and six white petals?",Aquilegia eximia
03ea3f5424,"What is the name of the American Thoroughbred racehorse, foaled in 2015, whose owner filed a lawsuit regarding a 2018 Santa Anita Derby win, and whose pedigree has no inbreeding through the first five generations, unlike two British Thoroughbreds that both won The Derby, one in 1827 and the other in 1791, both of which were explicitly noted as being inbred?",Bolt d'Oro
41bb86a302,"What is the city where a Gothic-style market hall is located, whose developing and owning company was founded 88 years before two other Finnish shopping center entities were either founded or completed in the same year, one of which owns 9 urban centers in Finland including Iso Omena, and the other is a shopping mall located in Kuopio?",Vaasa
fdd5aedb84,"What is the sum of the birth years of the two psychologists, one of whom authored a book titled *The Science of Consciousness* and the other developed the Vividness of Visual Imagery Questionnaire, whose research areas include consciousness, and neither of whom are listed as proponents of the anti-nesting principle?",3903
45df403b60,"What is the sum of the birth year of the British poet who authored 'For the Fallen', the year the British soldier-poet who commanded Crusader tanks was killed in Normandy, and the year the American poet known for his dramatic adaptation of Herman Melville's *Billy Budd* was named a fellow of the Academy of American Poets?",5790
1f610693ef,"How many years after the 13th mayor of the capital of the 'Buckeye State' became its postmaster did the post office of the Tuscarawas County community, whose name is derived from a nearby creek, officially adopt its current single-word name?",52 years
18424be387,"What is the maximum weight, in kilograms, of a male of the critically endangered German donkey breed whose breeding program was approved in the same year that marks 36 years after a unique transforming teddy bear series was released in the UK, a series that debuted 103 years after a German seamstress, paralyzed by polio, founded her company?",210
5afc1afb75,"What year is obtained by subtracting the number of years between the National Register of Historic Places listing of the Road Island Diner and the Wickahoney Post Office and Stage Station, from the year the Mountain View Diners Company ceased operations?",1930
36e117317a,"What is the name of the historical site, the tomb of a National Hero of Assam, located near a town in Jorhat district that is traversed by National Highway 37, where the old National Highway 37 (now NH 715) also passes through a town in Golaghat district which is additionally traversed by the old National Highway 39 (now NH 129), and this old National Highway 39 also passes through another town in Golaghat district situated at an elevation of 117 meters above MSL?",Lachit Borphukan's Maidam
9060a7d4ee,"Identify the Polish duke whose granddaughter became the Queen consort of Poland and Hungary, who was mentioned by a chronicler known for opposing Louis I of Hungary, and who was also a contemporary of another duke that joined Louis I of Hungary on a military expedition to Bełz.",Kazimierz III of Gniewkowo
7ca2b4d365,"Identify the Mannerist painter who maintained a detailed journal of his activities from 1573 until his death, and who was a contemporary of the artist famous for painting both a double-sided portrait of Cosimo I de' Medici's court dwarf and a fresco depicting Moses commissioning Joshua, which was also commissioned by Cosimo I de' Medici.",Paolo Farinati
5d861fcaeb,"What was the name of the anti-communist organization, whose leader was arrested in October 1987, and was founded in the same country where a school building, visited by Emperor Francis Joseph I in 1880, later became a girls' school as a result of a 1948 educational reform that also made communist ideology central to the national curriculum?",Fighting Solidarity
3cf269f805,"What is the name of the specific concert from the 'Where in the World of Music Is Carmen Sandiego?' series that was performed in 1995 by an orchestra whose name is similar to one that uses an animated conductor's baton in its educational program, and whose debut conductor shares a first name with the first leader of a German orchestra that was absorbed into the Berlin Symphony Orchestra?",The Case of the Missing Concert Hall
d649cef043,"What is the German term for the criminal justice body, which is attached to the judiciary and whose function is the main subject of a Wikipedia category, that is involved in the delivery of justice to those who have committed crimes?",Staatsanwaltschaft
8b8ddeb2ab,"Identify the full name of the chess player who won the Spanish Junior Chess Championship under 18 years in the same year that was exactly 12 years after the Spanish Grandmaster who later represented Senegal received his Grandmaster title, and exactly 32 years after the second Spanish player to achieve the Grandmaster title received his title.",Daniel Alsina Leal
c1c8b6d170,"What is the result of adding the publication year of the French graphic novel about a feral girl raised by a bear in the Pyrenees to the year a children's historical novel set in 2nd century AD Rome received a Newbery Honor, and then subtracting the birth year of the real-life individual known for living with wolves in the Sierra Morena?",1986
8e1322b5cb,"Identify the German constructivist artist who, in 1999, developed a unique style where depth, volume, and lighting are tangible realities, incorporating back-mounted lights, and whose birth year precedes that of a Polish painter known for his 'ludicrous haiku' multimedia project by nine years, and also precedes that of a German artist who uses an impasto oil painting technique to create 'aerial views of imaginary islands and volcanoes' by twenty-one years.",Hans Dieter Zingraff
6e52ee2254,Which band did John Gossard and Sarah Weiner play together in after the band which recorded the song 'Untitled'?,The Gault
644d9ca511,Who is credited with the layout design for the album 'Would We Be Alive?' by the band which recorded the songs 'Stop It' and 'And That's Sad'?,Randy Iwata
b00092378c,"What is the name of the record label that released the song ""Rock-a-Doodle-Doo"" by the artist who also recorded ""Sweet to Do Nothing""?",Raft Records
d3235b248f,What was the name of the street where the record shop that released 'Time Tunnel' and 'The Carpettes' was located in London?,Hoe Street
dd8756f0f7,"In which city did the British ice hockey player with the same name as the author of ""Introduction To The Music Of Brahms"" live until his death in 1983?",Birkenhead
8e0643dc5d,"Which film, directed by the screenwriter of ""Four Nights with Anna"" and the producer of ""EO"", features Peter McEnery and Claudia Cardinale in its cast?",The Adventures of Gerard
ae834bf4e0,In which city was the person born on 1865-06-14 with the name Adriaan Schade van Westrum born?,Amsterdam
f2cf7f9b49,Which football club won their first FA Cup title after beating the team with the same name as the artist who recorded the song 'Free the Fighters' in the final?,Leicester City
4e06d4069a,Which band did the composer of the musical works Syncope and Cataract join as their new secondary guitarist and sound manipulator after leaving Sparta?,The Mars Volta
1021035a6f,Which search engine commemorated the lyricist of 'Jukhi Jukhi Si Nazar' with a Doodle on his one hundred and first birth anniversary?,Google
c34737518c,"In which city was the American writer, and author of ""The Hue and Cry at Our House: A Year Remembered"", born and raised?",Fort Worth
8aa2751544,"What is the nationality of the mother of the person also known as Dwairi, Ahmet, whose height is 2.09 meters?",Turkish
ed87ec6bce,What was the original name of the band whose album 'Nevaeh' belongs to the Metalcore genre before they changed it to Design the Skyline?,Extra Large Kids
46394f7350,Which monument in the birthplace of Otto Scheerpeltz was designated a UNESCO World Heritage Site in 2000?,Holy Trinity Column
072b2df8fb,Which song by Queen did the artist who recorded the track Pusong Bato (Minus One) perform during the finals of Pilipinas Got Talent?,Too Much Love Will Kill You
17a0ebc586,Which recording studio in Northeast Minneapolis was used to record the album 'LP III' by the band which recorded the song 'Blue Stars'?,Terrarium Studios
3744452296,Which country was awarded the island of the same name as the birthplace of Mauricio Llovera by the International Court of Justice in 1992?,Honduras
dc96fd151a,"Which club did the person with the same name as the artist who recorded 'Eat, Drink and Be Mary' join on loan for the 2010–2011 season?",Gillingham
bba808b75d,What is the name of the character played by Bourvil in the 1965 French drama film which shares a name with a recording by Wise Guys Octet?,Hector Valentin
28559df247,Which Serbian rugby club was renamed in December 2014 to the same name as the film with the synopsis 'A bicycle-motocrosser tries to enter a corrupt promoter's nationally televised cash-prize race.'?,RK Pobednik
7f4e3c2a18,Which Australian club did the Brazilian former footballer with the same name as the artists who recorded 'Booking Agent Blues' and 'I Can’t Give You Anything but Love / L‐O‐V‐E Medley' sign for in 2006?,Melbourne Victory
e335c8a31f,What was the name of the building occupied in 1984 on the Old Kent Road in South London by the band which recorded the track 'Insurrection'?,The Ambulance Station
341c28a127,"Which university did the author of ""Performance-Based Contracting for Roadway Maintenance Operations in Indiana"" serve as a visiting professor of civil engineering at in the fall of 1980?",Massachusetts Institute of Technology
52e5b4d829,"In the Mexican telenovela with the same name as the song created by Luz Casal, what is the name of the town where Alfonso and his wife Aminta lead a hermit life?",Valle de Bravo
4260b3ee9f,Which professional wrestler mentored the person with the same name as the artist who recorded the songs 'Love Business' and 'Someone's Gonna Hurt You' in the art of creative event marketing of pro wrestling?,Pedro Martínez
92812ee158,"Which composer was the life partner of the writer who created music for 'Despite and Still, op. 41' and 'In the Dark Pinewood'?",Gian Carlo Menotti
dbb7842792,Which Montserratian association football club uses the song with the same name as the creative entity created by Felix Cartal as its anthem?,MVO Tremors
df0d4ce4ff,"In the music video for the song ""To Be or Not to Be (The ... Rap)"", which historical figure does Mel Brooks dress up as?",Adolf Hitler
9a050d2862,"What was the name of the column in the magazine with the same name as the film produced by Glenn Gers that listed individuals who were missing, killed in action, wounded, or who had been awarded medals during the First World War?",Roll of Honour
d408ffa50d,"Which singer is featured on the song of the same name as the recordings by artists SBM Jay and Joey Riot, from the album of the same name by Ida Corr?",Shaggy
9a14e0ffc6,"Which instrument does the composer of 'Arise, Her Eyes' play on the album Trio 2000 + One?",electric bass
606c645563,"Which individual, described as the author of 'Scientific Lives' and 'Brief Lives, Chiefly of Contemporaries; Volume 1.' 's 'most familiar learned acquaintance', was a 17th-century Rector of Pertwood?",Lancelot Morehouse
2dfc68c03f,"Which Renaissance composer is the early-music ensemble from the United Kingdom which recorded the tracks 'Estampie on CSM 42' and 'Der Herr ist mit mir, BuxWV 15' named after?",Guillaume Dufay
fbb8bb3b0c,"What is the name of the country house where the Welsh industrialist and Liberal politician, also known as 'David Davies Llandinam', died in 1890?",Plas Dinam
7c13b4ef0f,Which organization released a grant in August 2024 to support the restoration project of the place designed by John Shaffer Phipps?,The Preservation League of NYS
068393e53b,Which record label released the album Greatest Hits: Live & Kickin' by the band which recorded the song 'What’s the Matter With the Mill'?,Arista Records
7fb1da1b61,Which band did the band which recorded the songs 'Erase (Aubade)' and 'Sane' support on tour in North America and Europe after the release of their album Loom?,The Pains of Being Pure At Heart
23da382ca3,In which Italian city was the concert scene for the film 'I Hate Summer' shot during a concert by the artist who recorded the songs 'Via del Conservatorio' and 'Magia'?,Terlizzi
feaafc0ff8,"Which team did the Ice Hockey Player Herb Cain coach that won the Ontario championship in 1956, 1958 and 1959?",Newmarket Smokies
1c4dd1974f,"In the 1995 film with the same name as the recording by Rezz, which character is described as a dangerous asthmatic psychopath?",Little Junior Brown
0f3183a742,What is the name of the road that connects the entity with the same name as the release with the track 'Bloody Knees' to the unincorporated community of Clfitondale?,Stonewall Tell Road
ba0adc6645,"In the 1946 British musical film with the same name as songs recorded by Zach Lemmon and Manwell Reyes, which singer performed the song 'Honeysuckle Rose'?",Jill Allen
bc8b8332f3,"In which country was the greatest hits album, S.E.S. Best, released in 2002 by the musical group that recorded the songs 'Let It Snow' and 'Dejavu'?",Japan
99c3a6f557,What is the name of the casino where Cassie Black's failed theft took place in the crime fiction novel?,Cleopatra
1a63144fa0,What is the name of the art director who designed the sets for the 1943 Swedish film with the same name as a creative entity written by Jon Schaffer?,Bibi Lindström
7fef3503d5,What is the title of the song released as a single in 2004 from the album Attimo x attimo by the artist who recorded the tracks 'Se' and 'Qualcosa di te'?,L'amore piu grande che c'è
43105d6f3d,In which city was the person born in Nakhon Pathom and named Nicholas Bunkerd Kitbamrung ordained to the priesthood on 24 January 1926?,Bangkok
9bedd51b29,Which Pakistani president awarded the singer of 'Duniya Ki Jo Baatain Hain' and 'Apni Shadi Ka Sehra' the Sitara-e-Imtiaz for distinguished merit in the field of arts?,Pervez Musharraf
a1e656858a,In which cemetery was the American industrialist and philanthropist who had Marian Cushing Eliot as a child buried?,Bellefontaine Cemetery
f1f2c56594,At which American university did the guitarist who recorded the track Chakmool-Ti study arranging and composition?,Florida Atlantic University
1f4934b4eb,What is the name of the documentary that was created about the political protest of the person named Bill Breeden?,The Times of a Sign
59eec23900,Which British satellite channel began broadcasting the television show of the musical group which recorded the track 'My Picture of the World' in April 2013?,Nick Jr.
0988f5d47f,Which Parisian theatre hosted the premiere of the opéra comique which was first performed on 1879-12-13?,Théâtre des Folies-Dramatiques
b1316180a0,"Which organization's steering committee was the author of the books ""Policy Options in Lebanon: January 11, 1984"" and ""Negotiations, the path to peace in the Middle East"" a former member of?",Bilderberg Group
f8713d318f,"In which county of New York did the person with the same name as the author of the book ""The Whilton Dispute, 1264-1380: A Social-Legal Study of Dispute Settlement in Medieval England"" buy land for his vineyard in 1983?",Suffolk County
e0771d9463,Which character is portrayed by Staffan Göthe in the Swedish TV program directed by Jonas Grimås?,The Wanderer
203628a973,What is the name of the art venue where the record producer which recorded the tracks '555Hz' and 'Honeycomb' created a site-specific composition during his residency in 2012?,Wysing Arts Centre
9e658481f9,"In the Canadian Drama film first released in May 1996, what is the name of the character portrayed by Richard Moffatt?",René
9b8cdfab46,"On which British television breakfast show did the artist who recorded the tracks ""Lament"" and ""Well Almost"" appear as a guest on 16 May 2014?",This Morning
272ccafa56,In which church did the author of Footprints of the Apostles as Traced by Saint Luke in the Acts marry Margret Emma Thompson?,Childwall Church
2f8d25fd3b,"Which European country has an embassy in the birthplace of Carlos Gabriel and consulates in Belém, Belo Horizonte, Curitiba, Fortaleza, Manaus, Natal, Porto Alegre, Recife, Salvador, Rio de Janeiro, Santos, São Paulo and Vila Velha?",the Netherlands
d373fcb1a7,From which Ottoman emperor does the name of the district in Istanbul with a TV program of the same name directed by Faruk Teber come from?,Fatih Sultan Mehmed
64a0e26f8d,"What type of baked good is named after the English surgeon and author of ""Lectures on the Theory and Practice of Surgery""?",Abernethy biscuit
a9ba095da1,"What is the name of the program established in 1983 by the leaders of the same name as the birthplace of Jean Bell Thomas and Ashley York to keep its ""best and brightest"" interested in furthering education in the Commonwealth?",Kentucky Governor's Scholars Program
a8f76821da,"In Greek mythology, what is the most commonly mentioned role of the entity with the same name as a moon of Jupiter that has named locations such as Gaea?",nurse of the infant Zeus
f9db660d60,Which motorcycle model did the manufacturer of the same name as the recording by Big Big Train submit for evaluation against the War Office's Norton 16H at the outbreak of the Second World War?,1939 VA 497 cc overhead valve single
fbf80ad877,"In the election event which includes the '2024 France National Assembly election round 1 - Gers's 1st' and the '2024 France National Assembly election round 2 - Val-d'Oise's 8th', what date was the first round of voting held?",30 June 2024
6c1e972542,What is the name of the French rock group that recorded the songs 'Sorcière' and 'Everybody's Got to Learn Sometimes'?,A.S. Dragon
466b96ce17,What was the name of the committee of inquiry that reported in 1883 on the effects of the land legislation in the place where Christopher David Lee and Kirsty Hinchcliffe were born?,Morris and Ranken committee
33cd3f7863,"In which city did the editor of the book ""Sexual Behavior: Pharmacology and Biochemistry"" serve in the Royal Army Medical Corps during his National Service?",Shoreham-by-Sea
d5d841aca2,Which Italian poet was criticized by the author of 'Contre la elevision' and the screenwriter for 'The Canterbury Tales' for being an old writer and unable to possess poetic character?,Pietro Zorutti
751e31f86e,Which city gave the keys to its gates to the birthplace of Tommaso Temanza and Antonio Maria Priuli in 1414 to avoid a war?,Vicenza
ddd021c46c,In which territory of the country whose organizational scope includes Tennis Australia was a general election held on 18 June 2005?,Northern Territory
e9170445d4,Which university is Professor Joseph Coupland affiliated with in the film with the same name as the recording by Turin Brakes?,Oxford University
c6d447ec11,What was the call sign of the United States Air Force B-52F-70-BW Stratofortress bomber that crashed near the California city which is also the name of a recording by Russ Tolman on 14 March 1961?,Doe 11
31a86c31fa,What was the name of the magazine where the musician who recorded the song 'Symphony no.2: I. Tachycardie' worked as an editor after being a conductor at the Bucharest National Theatre?,Muzica
0deb3c2c71,"According to Rick Nelson, what was the original title that was considered for the album with the same name as a film classified as a 'Financial Troubles film' before it was shelved?",It's Rock and Roll to Me
4878f92b19,What is the name of the culture to which the Middle Neolithic enclosures of the type associated with the birthplace of Henri-Charles-Etienne Dujardin-Beaumetz are ascribed?,Cerny culture
24050a6724,"According to Berber customs, what status did the mother of Idris II maintain throughout her life?",matriarch
ccb1864a57,"What is the name of the record label that released the song ""Miss You"" by the artist who recorded ""Nothing Really Matters (piano version)"" and ""One of Those Days""?",Never Fade Records
540274b013,Which company was the first customer for a computer book of the company with the same name as the director of the film 'Hesitant with Love'?,Addison Wesley
dd6895ee90,Which record label did the Dutch thrash metal band that recorded the album 'Haatland' sign with in the beginning of 2008 for the album 'Depression Tank'?,Displeased Records
0d1313bfa4,"What is the name of the tribe whose myths were retrieved and edited for publication by the author of the book ""Family Hunting Territories in Northwestern North America: Indian Notes and Monographs, No. 46""?",Koreng tribe
35d8b21e7c,Which record label released the album Pro Patria Finlandia by the band which recorded the songs 'The Day of Reckoning' and 'Goat Seeds of Doom' in 2006?,Osmose Productions
301e04b180,What is the name of the person after whom the stadium in the birthplace of John Orobulu was named?,Eric Lawson
96469a0424,"In which city was the mother of Miles Jebb, a political hostess, born?",Newcastle upon Tyne
7e6ba78ad1,What is the name of the record label that released the extended play Giza by the recording artist of the same name as the musical writer of the work 'Gatekeeper'?,Merok
51173bedd9,What was added to the coat of arms of the birthplace of Antonio Lara Zárate after the victory over the English in 1706?,a second lion head
b81ac02920,"What was the role of the author of the book ""The Egyptian Labor Market in an Era of Reform"" at the Population Council's regional office in Cairo from 2005 to 2008?",Regional director for West Asia and North Africa
31378fe5a1,Which international commission is responsible for the protection of the river with the same name as a recording by The Jaffa Kid and its basin?,International Commission for the Protection of the Rhine
377696ccf9,Which fictional Japanese ice hockey forward was drafted in the 1974 National Hockey League amateur draft by the sports team whose abbreviation is BUF?,Taro Tsujimoto
db7135a095,What was the original name of the station in the same place as the Atlantic City Conference that was later demolished in 1997 and became the Atlantic City Municipal Bus Terminal?,Atlantic City Union Station
2cd45fc844,Which Austrian record label signed the band which recorded the song 'The Invocation Pt. III “abyzou”' and plays in the Melodic death metal genre on 12 August 2021?,Napalm Records
5586c46f65,"Which song by Nirvana is parodied by ""Weird Al"" Yankovic in the song composed by Krist Novoselic?",Smells Like Teen Spirit
ea7ce8d782,In which city did conservationists meet in 1941 to address environmental damage in the region where Andrew Pyper and John F. Bassett were born?,Guelph
1ab8c7fe46,Which composer dedicated their Fourth Piano Sonata to the Irish pianist with the same name as the author of the book 'The Surgeon General's Office'?,Sir Arnold Bax
e9bfd410fc,"What was the name of the hurricane that struck the place where Andrea Beatriz Arango was born on August 8, 1899, causing significant damage and loss of life?",Hurricane San Ciriaco
f38947724b,"According to the provided text, from which religious tradition did the artist who recorded the songs ""Buck Creek Girls"" and ""Soldier's Joy"" learn the song ""Heaven's Airplane""?",Holiness tradition
688dff37f5,What is the name of the port city where the disciple of Jesus with the same name as the recording artist of 'Does Dim Mwy O Win' lived?,Joppa
372d61d4b9,"What instrument did Lee Graziano play in the band which recorded the song 'I’m Gonna Make You Mine' and 'Lipstick Traces', in addition to drums and backing vocals?",trumpet
ce3f028977,"According to the provided text, what is the name of the town on the southeastern point of the island where Sayumi Shibukawa and Taro Kondo were born and where the Hidaka Expressway is planned to be extended?",Urakawa
73b0847846,"Which light rail station serves the shopping center also known as ""Dream Mall"" in Kaohsiung, Taiwan?",Dream Mall light rail station
c7d3f05757,"What is the name of the independent film company founded in the 1930s by the producer of ""What It Means To Be An American""?",Frith Films
9e0d5ad289,"In the novel with the same name as a book edition with ISBN 9780385308465, which city in Italy does Harry Arno want to retire to?",Rapallo
6829848c5f,In which city did the person who recorded the song 'Whos Afraid Of The Big Bad Wolf' die of a cerebral hemorrhage in 1970?,Metamora
48de7ed6ee,Which band member of the band which recorded the song 'A Meditation upon Death' took over frontman duties in November 2015?,Johan Reinholdz
86d923cd30,What is the shape of the median apophysis in the pedipalp of male spiders belonging to the genus with the same name as a 1974 music album and a recording by Sayed Balaha?,C-shaped
e061aa4e99,"Which record label released the debut studio album, Dreamers, by the band which recorded the track Mockingbird?",BEC Recordings
a720cdf184,What is the name of the abandoned location where the children in the film with the same name as a creative entity written by Jo Swerling play army?,lumberyard
5f2c08b644,"What is the name of the department store where Norman, a stock clerk, works in the 1953 British comedy film with the same name as a release with the track 'Stop Digging That Hole'?",Burridge's department store
afbedce586,Which zoologist introduced the genus which includes organisms with the lower classification Greater flameback in 1843?,Edward Blyth
c0397193a7,"What was the name of the bus operator that was immediately renamed as the name of the record label which released 'MTV Fresh, Volume 4' and 'Now the Music: Power Ballads' after being privatized?",Rodoviária do Algarve
b84bfd1a45,"What is the name of the family farm owned by the deceased person Pros Mund, whose national affiliation is Norway, in Eidanger?",Bjerkevold
28256b8d8b,What is the registered name of the ProRodeo Hall of Fame barrel racing horse with the same nickname as a music album by Lida Husik and a film directed by Ron Weisberg?,French Flash Hawk
ed16eb795e,Which naval air station did the author of the book 'On Glorious Wings: The Best Flying Stories of the Century' attend to train in the A-6 Intruder?,Naval Air Station Whidbey Island
b1ceb49ed9,What is the name of the treaty that effectively made the birthplace of Kunzang Dechen Wangyal a de facto protectorate of British India in 1861?,Treaty of Tumlong
74647f92d7,What was the name of the music venue co-founded in the northwest suburbs of Chicago in 1974 by the same person who creatively produced 'If Only I’d Known It'?,B'Ginnings
3c85598b22,What type of political system did the Constituent Assembly transform the country where Vannara Be was born into in 1993?,constitutional monarchy
961eeeb328,What is the title of the 2014 album by the artist who recorded the track 'Offering' and the song 'Madison Avenue'?,Nothing New
fa61c1d9a3,Which company launched the PC Checkup program in October 2008?,Symantec
db5f76efe7,"In the opera with the same name as the recordings by artists Zoltar and Ohmns, which city is the setting for the action?",Grenoble
3ce970b302,What is the name of the American textbook company founded by Aaron White?,Boundless (company)
6aca503577,In which Finnish town was a street named Valtaojankatu in honor of the astronomer?,Kemi
8e39c9a549,Which Australian cinematographer won the Golden Tripod award in 2004 for their work on the television miniseries with the same name as an artwork by George Frederic Watts?,Geoff Burton
d0b8e96953,With which city did the Swedish garrison at the birthplace of Per Lasson send a message to after seeing the Dano-Dutch fleet?,Malmö
00d0fe0f52,What was the name of the college where the author Alexander Johnston who worked as editor of American Orations: Colonialism. Constitutional government. The rise of democracy. The rise of nationality taught jurisprudence and political economy from 1884 until his death in 1889?,College of New Jersey
d3dedd9b0f,"Which opera company performed the work with a track list including 'X, The Life and Times of Malcolm X: Act I, Scene 2, Boston, “Come with me, child.”' in June 2006?",Oakland Opera Theater
2425ba6a9b,What is the name of the German record label that released the debut album of the musical duo which recorded the song 'Burnt Away' and whose release has a track list including 'Certain Abstractions'?,Morr Music
892eff4a9f,Which driver secured the pole position for the 2019 Auto racing event called the North Carolina Education Lottery 200 race?,Matt Crafton
d7811d7700,"What was the name of the technical institute where the British set decorator, art director, and production designer who worked as an art director for the film The Spy Who Loved Me was educated?",High Wycombe Technical Institute
776c4d74eb,"What is the title of the Turkish folk song that the recording by The Spotnicks, ""Uska Dara"", is based on?",Kâtibim
812f14d69a,In which county's Arts & Entertainment Hall of Fame was the artist who recorded the track 'Southern Lady' inducted in 2023?,Luzerne County
1ac5a8129e,"According to a 2022 paper, in which Mexican state was the jackrabbit of the same name as the birthplace of María Josefa Zozaya found to inhabit, a region where it was previously not known?",San Luis Potosi
e3e25b1d48,Which county was nominated to play in the 1911 All-Ireland Senior Hurling Championship final after the county where Muireann O’Connell was born refused to play?,Tipperary
ba36c594cb,"According to the publisher of 'World Directory of Medical Schools: 1967 supplement' and 'Lao People’s Democratic Republic: a Primary Health Care Case Study in the Context of the COVID-19 Pandemic', what is the name of the condition that involves inflammation in one or more sites of the male genital tract?",Male accessory gland infection
1b87438422,"Which musician supported the artist who recorded the songs 'Rudy's Rock' and 'Mambo Rock' on his last British tour, according to the New Rolling Stone Record Guide?",Steve Tatler and Drew Barfield
953ec7c071,Which college did the director of Geography of the Body graduate from?,State Teachers College at San Jose
1d5d13f1fc,"Who directed the 1919 Australian silent film adaptation of the play with the same name as a film classified as Melodrama, Investigation and Serial Killers?",Charles Villiers
20aeca1c8b,Which mountainous region stretches between the body of water with the same name as the recording by Karim Blal and the Gulf of Aqaba?,Mount Seir
4104d89fd7,"In the short story with the same name as a recording by Charlie Kunz & His Casani Club Orchestra, what is the name of the sea near which Olivia is cornered?",Vilayet Sea
5b9937a06e,"Which Nigerian television channel premiered the first season of the reality competition series with the same name as the release which includes the track 'Chocolate Girl' on February 9, 2020?",DStv channel 198
de7112c53c,In which town in west Cornwall is the person known by the alias Katharine Lee buried?,Lelant
2c5d9561d6,"What is the name of the school in Decatur, Georgia, where the writer of the lyrics for ""Everything in Its Own Time"" first met her future Indigo Girls bandmate Amy Ray?",Laurel Ridge Elementary School
9cfafaaa9b,"Which Lebanese magazine was sued by the artist who recorded the song 'Shou Mahdoumi' for spreading false news, intimidation and slander?",Nadine
3992356664,Which band played on the song 'Johnny Come Lately' on the album by Steve Earle which includes the track 'Little Sister'?,The Pogues
0932084b4a,"What is the name of the train line that had a special limited edition train with the same name as the video game where the topic 'Splats' appears running from November 14, 2016 to December 17, 2016?",Keikyu Airport line
9e0edd4b23,What is the name of the Biblical figure after whom the sign with the same name as recordings by Dahlia KYHC and Pinch is named?,Lazarus of Bethany
8adc858420,What type of body was formed in the birthplace of Aileen Allen when the Legislative Council and House of Assembly were amalgamated in 1893?,unicameral body
ab907c5610,"Which organization did the author of 'Race, reform, and rebellion' join in 1979, comprised of veterans of the New Left?",New American Movement
46879d49f7,Which award did the illustrator of 'The Secret Society of Super-Villains' receive in 2021 from the Inkwell Awards?,Joe Sinnott Hall of Fame Award
5692b2b70b,In which Chicago neighborhood did the same name as the illustrator of Blood Dance acquire his GringoLandia Studio and take up permanent residence in 1998?,Pilsen Historic District
33e33d2416,Who was the engineer for the album Horizon by the artist who recorded the track 'The Cosmo-Fire'?,Tam Fiofori
87b298b0cb,"What is the name of the record label that released the single ""Syd’s Eyes"" by the band which recorded the song ""Harlem""?",Black Mountain Music
a10eb51dff,"Which character in the 1983 film with the same name as a TV program with music by Keith Hopwood is described as affable but reclusive, not caring for society and social events?",Badger
f40b3403e5,Who narrated the 2016 American documentary film about mixed martial arts with the same name as a creative entity by Wale?,Kevin Costner
e12a0c56d6,"According to Kirkus Reviews, which type of crime writing by the author of ""Ravissements"" is described as 'gripping and creepy'?",crime-from-the-criminal-point-of-view
41d1ce7f37,"In which city did the journalist and author of the book ""Wind of Death"" serve as the bureau chief for Agence France-Presse from 1977 to 1979?",Brasilia
a8034619df,In which German city was the author who was a screen writer for Violanta born?,Rudolstadt
355356c714,"Which bird species is known to nest on the island also known as 'Eagle Iland', making it the only island in the archipelago to do so?",great blue herons
2e31c43d66,Which Spanish football team did the official football team of the location where the Battle of Piedra Pisada happened play against in a friendly match on 8 December 1926?,Spanish National Team
98513bec52,"In which state of the United States is the Greenwood Township which is also known as Greenwood Township, Wexford County, Michigan located in Tripp County?",South Dakota
1770261c8c,Which television network broadcast the two parts of the HISTORICAL_DRAMA 'Man in an Orange Shirt' as a coherent feature film on 13 August 2017?,TVNZ
