example_id,problem,gold answer,classification,reasoning
9e658481f9,"In the Canadian Drama film first released in May 1996, what is the name of the character portrayed by Richard Moffatt?",René,multi-hop,"The question requires identifying the specific Canadian drama film released in May 1996 featuring Richard Moffatt and then determining the character he played. This involves multiple steps (finding the film and then the character), making it multi-hop."
9b8cdfab46,"On which British television breakfast show did the artist who recorded the tracks ""Lament"" and ""Well Almost"" appear as a guest on 16 May 2014?",This Morning,multi-hop,"The question requires identifying the artist from their tracks ('Lament' and 'Well Almost'), then determining which British TV breakfast show they appeared on on 16 May 2014. This involves two connected steps of reasoning."
272ccafa56,In which church did the author of Footprints of the Apostles as Traced by Saint Luke in the Acts marry Margret Emma Thompson?,Childwall Church,multi-hop,"The question requires two steps: first, identifying the author of the book 'Footprints of the Apostles as Traced by Saint Luke in the Acts,' and second, determining the specific church where this author married Margret Emma Thompson. This multi-stage reasoning makes it a multi-hop question."
2f8d25fd3b,"Which European country has an embassy in the birthplace of Carlos Gabriel and consulates in Belém, Belo Horizonte, Curitiba, Fortaleza, Manaus, Natal, Porto Alegre, Recife, Salvador, Rio de Janeiro, Santos, São Paulo and Vila Velha?",the Netherlands,multi-hop,"The question requires multiple steps: first identifying Carlos Gabriel's birthplace, then finding a European country with an embassy there and consulates in listed cities. This involves connecting distinct pieces of information."
d373fcb1a7,From which Ottoman emperor does the name of the district in Istanbul with a TV program of the same name directed by Faruk Teber come from?,Fatih Sultan Mehmed,multi-hop,"The question requires connecting the TV program directed by Faruk Teber to its district name in Istanbul, then linking that name to an Ottoman emperor. This involves multiple reasoning steps (e.g., identifying the program/district name, tracing its origin), making it multi-hop."
64a0e26f8d,"What type of baked good is named after the English surgeon and author of ""Lectures on the Theory and Practice of Surgery""?",Abernethy biscuit,multi-hop,The question requires two steps: identifying the English surgeon/author (John Harvey Kellogg) and connecting his name to the baked good (Kellogg's Spotted Dick/Steamed Chocolate Pudding). This necessitates linking two distinct pieces of information.
a9ba095da1,"What is the name of the program established in 1983 by the leaders of the same name as the birthplace of Jean Bell Thomas and Ashley York to keep its ""best and brightest"" interested in furthering education in the Commonwealth?",Kentucky Governor's Scholars Program,multi-hop,"The question requires identifying the birthplace of Jean Bell Thomas and Ashley York, connecting it to the leaders of a similarly named place, and finding a program established by them in 1983. This multi-step reasoning involves connecting multiple pieces of information."
a8f76821da,"In Greek mythology, what is the most commonly mentioned role of the entity with the same name as a moon of Jupiter that has named locations such as Gaea?",nurse of the infant Zeus,multi-hop,"The question requires identifying a moon of Jupiter named after a Greek mythological entity and then determining the role of that entity. This involves two steps: connecting the moon's name to the mythology entity and then retrieving its role, making it a multi-hop question."
f9db660d60,Which motorcycle model did the manufacturer of the same name as the recording by Big Big Train submit for evaluation against the War Office's Norton 16H at the outbreak of the Second World War?,1939 VA 497 cc overhead valve single,multi-hop,"The question requires two steps: first identifying the manufacturer (Nash) based on the recording name by Big Big Train, then determining the motorcycle model submitted during WWII. This involves connecting a music reference to a historical manufacturer and their product evaluation against another model. The multiple steps and cross-referencing make it multi-hop."
fbf80ad877,"In the election event which includes the '2024 France National Assembly election round 1 - Gers's 1st' and the '2024 France National Assembly election round 2 - Val-d'Oise's 8th', what date was the first round of voting held?",30 June 2024,one-hop,"The question asks for the date of the first round of voting in specific election events. While it mentions two events, the first round's date is determined by a single, standardized national election schedule. The answer requires knowing a single factual date, making it a 'one-hop' question."
6c1e972542,What is the name of the French rock group that recorded the songs 'Sorcière' and 'Everybody's Got to Learn Sometimes'?,A.S. Dragon,multi-hop,"The question asks for the French rock group associated with two specific songs. While the answer is a single entity (the group), it requires verifying information about two distinct songs and their connection to the same group, thus involving multiple logical steps."
466b96ce17,What was the name of the committee of inquiry that reported in 1883 on the effects of the land legislation in the place where Christopher David Lee and Kirsty Hinchcliffe were born?,Morris and Ranken committee,multi-hop,The question requires multiple steps: identifying the birthplace of two individuals and then finding the 1883 committee related to land legislation in that location. This involves connecting separate pieces of information.
33cd3f7863,"In which city did the editor of the book ""Sexual Behavior: Pharmacology and Biochemistry"" serve in the Royal Army Medical Corps during his National Service?",Shoreham-by-Sea,multi-hop,"The question requires first identifying the editor of the book 'Sexual Behavior: Pharmacology and Biochemistry' and then determining the city where they served in the Royal Army Medical Corps during National Service. This involves two distinct steps of information retrieval, making it a multi-hop question."
d5d841aca2,Which Italian poet was criticized by the author of 'Contre la elevision' and the screenwriter for 'The Canterbury Tales' for being an old writer and unable to possess poetic character?,Pietro Zorutti,multi-hop,"The question requires identifying two distinct individuals (author of 'Contre la Television' and screenwriter for 'The Canterbury Tales'), connecting their criticism to an Italian poet, and resolving overlapping information. This involves multiple steps of reasoning and cross-referencing, making it a multi-hop question."
751e31f86e,Which city gave the keys to its gates to the birthplace of Tommaso Temanza and Antonio Maria Priuli in 1414 to avoid a war?,Vicenza,multi-hop,"The question requires multiple steps of reasoning: 1) Identifying the city associated with the historical event, 2) Connecting it to the birthplace of Tommaso Temanza and Antonio Maria Priuli, 3) Verifying the year (1414) and the action (giving keys to gates) as a war-avoidance gesture. These interconnected elements necessitate multi-hop logic."
ddd021c46c,In which territory of the country whose organizational scope includes Tennis Australia was a general election held on 18 June 2005?,Northern Territory,multi-hop,"The question requires two steps: first identifying the country (Australia) through the reference to Tennis Australia, and then determining which of Australia's territories held a general election on 18 June 2005. This multi-step reasoning and connection between entities (organization → country → territory → election) classifies it as multi-hop."
e9170445d4,Which university is Professor Joseph Coupland affiliated with in the film with the same name as the recording by Turin Brakes?,Oxford University,multi-hop,"The question requires two steps of reasoning: first identifying the film with the same name as Turin Brakes' recording, and then determining Professor Joseph Coupland's affiliated university in that film. This involves connecting distinct pieces of information from different sources."
c6d447ec11,What was the call sign of the United States Air Force B-52F-70-BW Stratofortress bomber that crashed near the California city which is also the name of a recording by Russ Tolman on 14 March 1961?,Doe 11,multi-hop,"The question requires multiple steps: first identifying the California city via Russ Tolman's 1961 recording, then finding the call sign of a specific crashed bomber linked to that city. This necessitates connecting two distinct facts and a date, making it multi-hop."
31a86c31fa,What was the name of the magazine where the musician who recorded the song 'Symphony no.2: I. Tachycardie' worked as an editor after being a conductor at the Bucharest National Theatre?,Muzica,multi-hop,"The question requires multiple steps: identifying the musician from the song, confirming their role as a conductor at the Bucharest National Theatre, and then determining the magazine where they worked as an editor afterward. Each step depends on prior information, making it multi-hop."
0deb3c2c71,"According to Rick Nelson, what was the original title that was considered for the album with the same name as a film classified as a 'Financial Troubles film' before it was shelved?",It's Rock and Roll to Me,multi-hop,"The question requires identifying a film classified as 'Financial Troubles', connecting it to an album with the same name by Rick Nelson, and determining the original title considered before shelving. This involves multiple linked steps."
4878f92b19,What is the name of the culture to which the Middle Neolithic enclosures of the type associated with the birthplace of Henri-Charles-Etienne Dujardin-Beaumetz are ascribed?,Cerny culture,multi-hop,"The question requires identifying the birthplace of Henri-Charles-Etienne Dujardin-Beaumetz, linking it to the specific type of Middle Neolithic enclosures in that region, and then determining the associated culture. This involves multiple steps of contextual and geographic reasoning."
24050a6724,"According to Berber customs, what status did the mother of Idris II maintain throughout her life?",matriarch,multi-hop,"The question requires understanding both Berber customs and the specific historical context of Idris II's mother. It involves connecting information about cultural traditions with a historical figure's lineage, necessitating multiple steps of reasoning."
ccb1864a57,"What is the name of the record label that released the song ""Miss You"" by the artist who recorded ""Nothing Really Matters (piano version)"" and ""One of Those Days""?",Never Fade Records,multi-hop,"The question requires identifying the artist through two specific songs first, then determining the record label for another song by that artist. This involves multiple steps of connecting information from different sources."
540274b013,Which company was the first customer for a computer book of the company with the same name as the director of the film 'Hesitant with Love'?,Addison Wesley,multi-hop,"The question requires first identifying the director of the film 'Hesitant with Love', then using that director's name (e.g., 'John Doe') as the company name, and finally finding the first customer of that company's computer book. This involves multiple steps."
dd6895ee90,Which record label did the Dutch thrash metal band that recorded the album 'Haatland' sign with in the beginning of 2008 for the album 'Depression Tank'?,Displeased Records,multi-hop,"The question requires identifying the Dutch thrash metal band associated with 'Haatland' (Step 1) and then determining their record label for 'Depression Tank' in 2008 (Step 2). These steps involve connecting two separate pieces of information, requiring multi-hop reasoning."
0d1313bfa4,"What is the name of the tribe whose myths were retrieved and edited for publication by the author of the book ""Family Hunting Territories in Northwestern North America: Indian Notes and Monographs, No. 46""?",Koreng tribe,multi-hop,"The question requires first identifying the author of the specified book and then determining the tribe associated with their work on myths. This involves two distinct steps of information retrieval, making it a multi-hop question."
35d8b21e7c,Which record label released the album Pro Patria Finlandia by the band which recorded the songs 'The Day of Reckoning' and 'Goat Seeds of Doom' in 2006?,Osmose Productions,multi-hop,The question requires identifying the band from two songs (first hop) and then determining the record label of a specific album by that band (second hop). This involves multiple steps of connected information.
301e04b180,What is the name of the person after whom the stadium in the birthplace of John Orobulu was named?,Eric Lawson,multi-hop,"The question requires three steps: 1) Finding John Orobulu's birthplace, 2) Identifying the stadium in that location, and 3) Determining the person the stadium was named after. Each step depends on prior information, necessitating multi-hop reasoning."
96469a0424,"In which city was the mother of Miles Jebb, a political hostess, born?",Newcastle upon Tyne,multi-hop,"The question requires identifying Miles Jebb, determining his mother's identity, and then finding her birthplace. This involves multiple steps of reasoning and connecting information, making it a multi-hop question."
7e6ba78ad1,What is the name of the record label that released the extended play Giza by the recording artist of the same name as the musical writer of the work 'Gatekeeper'?,Merok,multi-hop,"The question requires multiple steps: identifying the musical writer of 'Gatekeeper', finding the artist with the same name, locating the EP 'Giza' by this artist, and then determining the record label. Each step depends on prior information, necessitating multi-hop reasoning."
51173bedd9,What was added to the coat of arms of the birthplace of Antonio Lara Zárate after the victory over the English in 1706?,a second lion head,multi-hop,"The question requires identifying the birthplace of Antonio Lara Zárate, connecting it to the historical event (1706 English victory), and determining the specific addition to its coat of arms. This involves multiple reasoning steps and linking disparate pieces of information."
b81ac02920,"What was the role of the author of the book ""The Egyptian Labor Market in an Era of Reform"" at the Population Council's regional office in Cairo from 2005 to 2008?",Regional director for West Asia and North Africa,multi-hop,"The question requires identifying the author of the book first, then determining their role at a specific organization, location, and timeframe. Multiple steps are needed to connect the author's work to their professional position."
31378fe5a1,Which international commission is responsible for the protection of the river with the same name as a recording by The Jaffa Kid and its basin?,International Commission for the Protection of the Rhine,multi-hop,"The question requires identifying a river whose name matches a recording by The Jaffa Kid, then determining the international commission responsible for its protection. This involves multiple steps (linking the recording to the river name and then to the commission) and connecting information from different domains (music and international agreements)."
377696ccf9,Which fictional Japanese ice hockey forward was drafted in the 1974 National Hockey League amateur draft by the sports team whose abbreviation is BUF?,Taro Tsujimoto,multi-hop,"The question requires multiple steps: identifying the team 'BUF' (Buffalo Sabres), finding the 1974 NHL draft pick by BUF, and confirming if that player is fictional. Since it involves connecting abbreviations, historical draft data, and fictional context, it is a multi-hop question."
db7135a095,What was the original name of the station in the same place as the Atlantic City Conference that was later demolished in 1997 and became the Atlantic City Municipal Bus Terminal?,Atlantic City Union Station,multi-hop,"The question requires identifying the original name of a station linked to the Atlantic City Conference, its demolition in 1997, and its replacement by the bus terminal. This involves multiple connections: locating the conference venue, identifying the original station name, verifying the demolition, and confirming its successor’s name. Each step depends on distinct pieces of information."
2cd45fc844,Which Austrian record label signed the band which recorded the song 'The Invocation Pt. III “abyzou”' and plays in the Melodic death metal genre on 12 August 2021?,Napalm Records,multi-hop,"The question requires multiple steps: identifying the band that recorded the song, confirming their genre and activity date, and determining the Austrian label that signed them. This necessitates connecting information across different domains."
5586c46f65,"Which song by Nirvana is parodied by ""Weird Al"" Yankovic in the song composed by Krist Novoselic?",Smells Like Teen Spirit,multi-hop,"The question requires multiple steps: first identifying the song composed by Krist Novoselic (a Nirvana member), then determining which of 'Weird Al' Yankovic's parodies is based on that specific Nirvana song. This involves connecting entities (Novoselic -> specific Nirvana song -> 'Weird Al' parody)."
ea7ce8d782,In which city did conservationists meet in 1941 to address environmental damage in the region where Andrew Pyper and John F. Bassett were born?,Guelph,multi-hop,"The question requires two steps: first identifying the birthplace region of Andrew Pyper and John F. Bassett, then determining the city in that region where a 1941 conservation meeting occurred. Multiple connected facts are needed."
1ab8c7fe46,Which composer dedicated their Fourth Piano Sonata to the Irish pianist with the same name as the author of the book 'The Surgeon General's Office'?,Sir Arnold Bax,multi-hop,"The question requires identifying the author of the book, mapping that name to an Irish pianist, and then finding the composer who dedicated their sonata to that pianist. These multiple steps of linked information make it a multi-hop question."
e9bfd410fc,"What was the name of the hurricane that struck the place where Andrea Beatriz Arango was born on August 8, 1899, causing significant damage and loss of life?",Hurricane San Ciriaco,multi-hop,"The question requires multiple steps: first determining Andrea Beatriz Arango's birthplace, then identifying the specific hurricane that struck that location on August 8, 1899, and confirming it caused significant damage and loss of life. Each step involves distinct factual queries, making it multi-hop."
f38947724b,"According to the provided text, from which religious tradition did the artist who recorded the songs ""Buck Creek Girls"" and ""Soldier's Joy"" learn the song ""Heaven's Airplane""?",Holiness tradition,multi-hop,"The question requires identifying the religious tradition from which an artist learned a specific song. To answer this, one must first determine the artist based on their recorded songs ('Buck Creek Girls' and 'Soldier's Joy'), and then trace the origin of 'Heaven's Airplane' to its religious tradition. This involves connecting information about the artist and the song's origin, requiring multiple steps of reasoning."
688dff37f5,What is the name of the port city where the disciple of Jesus with the same name as the recording artist of 'Does Dim Mwy O Win' lived?,Joppa,multi-hop,"The question requires identifying the disciple whose name matches the recording artist, then determining the port city associated with that disciple. This involves multiple steps (e.g., linking the song's artist to 'Peter', connecting Peter to the disciple, and finding the port city), making it a multi-hop query."
372d61d4b9,"What instrument did Lee Graziano play in the band which recorded the song 'I’m Gonna Make You Mine' and 'Lipstick Traces', in addition to drums and backing vocals?",trumpet,multi-hop,"The question requires identifying the band that recorded the two specified songs, then determining the instrument played by Lee Graziano in that band beyond drums and backing vocals. This involves multiple steps of connecting information (songs to band, band to member's role)."
ce3f028977,"According to the provided text, what is the name of the town on the southeastern point of the island where Sayumi Shibukawa and Taro Kondo were born and where the Hidaka Expressway is planned to be extended?",Urakawa,multi-hop,"The question requires combining multiple pieces of information from the text: 1) the location of the town (southeastern point of the island), 2) the town being the birthplace of two individuals (Sayumi Shibukawa and Taro Kondo), and 3) the Hidaka Expressway's planned extension. Answering this needs connecting these distinct facts, making it a multi-hop question."
73b0847846,"Which light rail station serves the shopping center also known as ""Dream Mall"" in Kaohsiung, Taiwan?",Dream Mall light rail station,multi-hop,The question requires two steps: first identifying the actual name of 'Dream Mall' in Kaohsiung and then determining which light rail station serves it. This involves connecting information from different sources (shopping center name mapping and transit data).
c7d3f05757,"What is the name of the independent film company founded in the 1930s by the producer of ""What It Means To Be An American""?",Frith Films,multi-hop,"The question requires two steps: identifying the producer of ""What It Means To Be An American"" and then determining the independent film company they founded in the 1930s. Connecting these two pieces of information necessitates multi-hop reasoning."
9e0d5ad289,"In the novel with the same name as a book edition with ISBN 9780385308465, which city in Italy does Harry Arno want to retire to?",Rapallo,multi-hop,"The question requires first identifying the book title from the ISBN (one hop), then determining the retirement city of a character named Harry Arno within that novel (another hop). This involves two steps of reasoning."
6829848c5f,In which city did the person who recorded the song 'Whos Afraid Of The Big Bad Wolf' die of a cerebral hemorrhage in 1970?,Metamora,multi-hop,"The question requires identifying the person who recorded the song 'Who's Afraid Of The Big Bad Wolf' and then determining the city of their death in 1970. This involves two steps of reasoning: first, identifying the correct individual (which may require resolving ambiguity, as multiple artists have recorded the song), and second, finding the location of their death. Hence, it is a multi-hop question."
48de7ed6ee,Which band member of the band which recorded the song 'A Meditation upon Death' took over frontman duties in November 2015?,Johan Reinholdz,multi-hop,"The question requires first identifying the band that recorded 'A Meditation upon Death', then determining which member took over frontman duties in November 2015. Two distinct information steps are needed."
86d923cd30,What is the shape of the median apophysis in the pedipalp of male spiders belonging to the genus with the same name as a 1974 music album and a recording by Sayed Balaha?,C-shaped,multi-hop,"The question requires three steps: identifying the 1974 album/recording by Sayed Balaha, determining the spider genus with that name, and describing the median apophysis structure. This involves connecting across music, taxonomy, and arachnology domains."
e061aa4e99,"Which record label released the debut studio album, Dreamers, by the band which recorded the track Mockingbird?",BEC Recordings,multi-hop,The question requires two steps: first identifying the band that recorded 'Mockingbird' and then determining the record label of their album 'Dreamers'. This involves connecting information from different sources.
a720cdf184,What is the name of the abandoned location where the children in the film with the same name as a creative entity written by Jo Swerling play army?,lumberyard,multi-hop,"The question requires multiple steps: 1) Identifying the creative entity written by Jo Swerling (play ""Our Town""), 2) Connecting it to a film with the same name, and 3) Determining the abandoned location (Grover's Corners) where children play army in the story. This multi-step reasoning makes it a multi-hop question."
5f2c08b644,"What is the name of the department store where Norman, a stock clerk, works in the 1953 British comedy film with the same name as a release with the track 'Stop Digging That Hole'?",Burridge's department store,multi-hop,"The question requires identifying the 1953 British comedy film linked to the track 'Stop Digging That Hole', then retrieving the department store name from that film. This involves multiple steps of reasoning across connected data points, making it a multi-hop question."
afbedce586,Which zoologist introduced the genus which includes organisms with the lower classification Greater flameback in 1843?,Edward Blyth,multi-hop,"The question requires two steps: first identifying the genus of the 'Greater flameback' (a species), and then determining the zoologist who introduced that genus in 1843. This involves connecting a taxonomic classification to a historical scientific act."
c0397193a7,"What was the name of the bus operator that was immediately renamed as the name of the record label which released 'MTV Fresh, Volume 4' and 'Now the Music: Power Ballads' after being privatized?",Rodoviária do Algarve,multi-hop,"The question requires multiple steps: first identifying the record labels for the two mentioned albums, then determining the bus operator that was renamed after privatization to match that label's name. This involves connecting information across different domains (music labels and bus operations), necessitating multi-hop reasoning."
b84bfd1a45,"What is the name of the family farm owned by the deceased person Pros Mund, whose national affiliation is Norway, in Eidanger?",Bjerkevold,multi-hop,"The question requires connecting multiple pieces of information (deceased person's name, their national affiliation, and location) to determine the name of the family farm. This involves multiple steps of reasoning and connecting different attributes."
28256b8d8b,What is the registered name of the ProRodeo Hall of Fame barrel racing horse with the same nickname as a music album by Lida Husik and a film directed by Ron Weisberg?,French Flash Hawk,multi-hop,"The question requires connecting three distinct pieces of information: the album by Lida Husik, the film by Ron Weisberg, and the horse's nickname/registered name. This multi-step reasoning involves cross-referencing entities across different domains, which exceeds a single-hop query."
ed16eb795e,Which naval air station did the author of the book 'On Glorious Wings: The Best Flying Stories of the Century' attend to train in the A-6 Intruder?,Naval Air Station Whidbey Island,multi-hop,"The question requires first identifying the book's author and then determining which naval air station that author attended for A-6 Intruder training. This involves two distinct pieces of information connected sequentially, necessitating multiple steps of reasoning."
b1ceb49ed9,What is the name of the treaty that effectively made the birthplace of Kunzang Dechen Wangyal a de facto protectorate of British India in 1861?,Treaty of Tumlong,multi-hop,"The question requires connecting multiple pieces of information: first identifying the birthplace of Kunzang Dechen Wangyal, then determining the relevant treaty from 1861 that established it as a British India protectorate. This involves multi-step reasoning"
74647f92d7,What was the name of the music venue co-founded in the northwest suburbs of Chicago in 1974 by the same person who creatively produced 'If Only I’d Known It'?,B'Ginnings,multi-hop,"The question requires first identifying the person who produced 'If Only I’d Known It' and then determining the music venue they co-founded in Chicago in 1974. This involves two distinct steps of inference, making it a multi-hop question."
3c85598b22,What type of political system did the Constituent Assembly transform the country where Vannara Be was born into in 1993?,constitutional monarchy,multi-hop,"The question requires first identifying the country where Vannara Be was born and then determining the political system established by its 1993 Constituent Assembly. This involves two distinct steps of information retrieval and linking, making it multi-hop."
961eeeb328,What is the title of the 2014 album by the artist who recorded the track 'Offering' and the song 'Madison Avenue'?,Nothing New,multi-hop,"The question requires identifying the artist who recorded both 'Offering' and 'Madison Avenue', then determining their 2014 album. This involves two steps (linking tracks to the artist and then finding an album) and thus requires multi-hop reasoning."
fa61c1d9a3,Which company launched the PC Checkup program in October 2008?,Symantec,one-hop,"The question asks for the company that launched the PC Checkup program in October 2008, which requires a single direct fact lookup. It does not involve multiple steps or connections."
db5f76efe7,"In the opera with the same name as the recordings by artists Zoltar and Ohmns, which city is the setting for the action?",Grenoble,multi-hop,"The question requires determining the opera's name through the artists Zoltar and Ohmns' recordings and then identifying the city setting of that opera. Two steps are needed: first resolving the opera's name, then its setting."
3ce970b302,What is the name of the American textbook company founded by Aaron White?,Boundless (company),one-hop,The question asks for a direct fact: the name of the company founded by Aaron White. No multiple steps or connections between entities are required.
6aca503577,In which Finnish town was a street named Valtaojankatu in honor of the astronomer?,Kemi,one-hop,"The question requires identifying the Finnish town with a street named 'Valtaojankatu' in honor of an astronomer. This is a direct factual lookup (the street name directly corresponds to a specific town), without needing intermediate reasoning steps like connecting multiple entities or comparing data. Thus, it is a one-hop question."
8e39c9a549,Which Australian cinematographer won the Golden Tripod award in 2004 for their work on the television miniseries with the same name as an artwork by George Frederic Watts?,Geoff Burton,multi-hop,"The question requires connecting multiple pieces of information: the Golden Tripod award winner, the miniseries name linked to an artwork by George Frederic Watts, and the cinematographer's identity. This involves multiple steps of reasoning."
d0b8e96953,With which city did the Swedish garrison at the birthplace of Per Lasson send a message to after seeing the Dano-Dutch fleet?,Malmö,multi-hop,The question requires identifying the birthplace of Per Lasson (first hop) and then determining the city to which the Swedish garrison sent a message after observing the Dano-Dutch fleet (second hop). This involves connecting two pieces of information.
00d0fe0f52,What was the name of the college where the author Alexander Johnston who worked as editor of American Orations: Colonialism. Constitutional government. The rise of democracy. The rise of nationality taught jurisprudence and political economy from 1884 until his death in 1889?,College of New Jersey,one-hop,"The question seeks a single specific piece of information: the name of the college where Alexander Johnston taught. Although the question provides context about his works and tenure, the core request is for a direct entity (college name), which can be answered with a single fact."
d3dedd9b0f,"Which opera company performed the work with a track list including 'X, The Life and Times of Malcolm X: Act I, Scene 2, Boston, “Come with me, child.”' in June 2006?",Oakland Opera Theater,multi-hop,"The question requires identifying the opera company that performed a specific track in June 2006. This involves multiple steps: first determining the opera/work associated with the track 'X, The Life and Times of Malcolm X,' then identifying the company that staged it during that time. It necessitates connecting contextual clues and historical performance data."
2425ba6a9b,What is the name of the German record label that released the debut album of the musical duo which recorded the song 'Burnt Away' and whose release has a track list including 'Certain Abstractions'?,Morr Music,multi-hop,"The question requires identifying the musical duo through their song titles ('Burnt Away' and 'Certain Abstractions'), determining their debut album, and then finding the German record label associated with its release. This involves multiple steps of connecting entities, making it a multi-hop question."
892eff4a9f,Which driver secured the pole position for the 2019 Auto racing event called the North Carolina Education Lottery 200 race?,Matt Crafton,one-hop,"The question asks for a single direct fact about a specific event in 2019, requiring knowledge of the pole position driver without needing additional steps or connections."
d7811d7700,"What was the name of the technical institute where the British set decorator, art director, and production designer who worked as an art director for the film The Spy Who Loved Me was educated?",High Wycombe Technical Institute,multi-hop,"The question requires first identifying the art director of 'The Spy Who Loved Me', then determining their educational background. Two distinct pieces of information must be connected."
776c4d74eb,"What is the title of the Turkish folk song that the recording by The Spotnicks, ""Uska Dara"", is based on?",Kâtibim,multi-hop,"The question requires identifying a Turkish folk song that serves as the basis for 'Uska Dara' by The Spotnicks. This involves connecting the band's recording to the original folk song title, which is not a single direct fact but a relational inference. Multiple steps of reasoning (e.g., linking the band's version to the original title) are needed."
812f14d69a,In which county's Arts & Entertainment Hall of Fame was the artist who recorded the track 'Southern Lady' inducted in 2023?,Luzerne County,multi-hop,The question requires two steps: first identifying the artist who recorded 'Southern Lady' and then determining which county's Arts & Entertainment Hall of Fame they were inducted into in 2023. This involves connecting the track to the artist (first hop) and the artist to the specific Hall of Fame (second hop).
1ac5a8129e,"According to a 2022 paper, in which Mexican state was the jackrabbit of the same name as the birthplace of María Josefa Zozaya found to inhabit, a region where it was previously not known?",San Luis Potosi,multi-hop,"The question requires connecting multiple pieces of information: (1) identifying the birthplace of María Josefa Zozaya, (2) linking it to the name of a jackrabbit species, and (3) determining the Mexican state where this species was found in 2022, previously unknown. This multi-step reasoning necessitates combining independent facts from different sources, making it a 'multi-hop' question."
e3e25b1d48,Which county was nominated to play in the 1911 All-Ireland Senior Hurling Championship final after the county where Muireann O’Connell was born refused to play?,Tipperary,multi-hop,"The question requires two steps: first identifying the county Muireann O’Connell was born in, and then finding the nominated county to replace it in the 1911 championship. This requires connecting multiple facts."
ba36c594cb,"According to the publisher of 'World Directory of Medical Schools: 1967 supplement' and 'Lao People’s Democratic Republic: a Primary Health Care Case Study in the Context of the COVID-19 Pandemic', what is the name of the condition that involves inflammation in one or more sites of the male genital tract?",Male accessory gland infection,multi-hop,"The question requires connecting information from two different publications by the same publisher to identify the medical condition. This involves multiple steps of reasoning and cross-referencing sources, classifying it as multi-hop."
1b87438422,"Which musician supported the artist who recorded the songs 'Rudy's Rock' and 'Mambo Rock' on his last British tour, according to the New Rolling Stone Record Guide?",Steve Tatler and Drew Barfield,multi-hop,"The question requires first identifying the artist who recorded 'Rudy's Rock' and 'Mambo Rock', then determining which musician supported them on their last British tour. This involves two distinct factual steps, making it a multi-hop question."
953ec7c071,Which college did the director of Geography of the Body graduate from?,State Teachers College at San Jose,multi-hop,The question requires two steps of reasoning: first identifying the director of 'Geography of the Body' (Gaspar Noé) and then determining their educational background. This involves connecting information from different sources.
1d5d13f1fc,"Who directed the 1919 Australian silent film adaptation of the play with the same name as a film classified as Melodrama, Investigation and Serial Killers?",Charles Villiers,multi-hop,The question requires identifying the play's name by cross-referencing a film's genre categories and then finding the director of its 1919 adaptation. This involves multiple steps of connecting information.
20aeca1c8b,Which mountainous region stretches between the body of water with the same name as the recording by Karim Blal and the Gulf of Aqaba?,Mount Seir,multi-hop,"The question requires identifying a body of water linked to a recording by Karim Blal, then determining the mountainous region between that body and the Gulf of Aqaba. This multi-step reasoning and cross-domain knowledge make it multi-hop."
4104d89fd7,"In the short story with the same name as a recording by Charlie Kunz & His Casani Club Orchestra, what is the name of the sea near which Olivia is cornered?",Vilayet Sea,multi-hop,"The question requires multiple steps: first identifying the recording's name by Charlie Kunz & His Casani Club Orchestra (which matches the story's title), then finding the specific detail about Olivia's location in the story, and finally determining the sea's name. These interconnected steps necessitate multi-hop reasoning."
5b9937a06e,"Which Nigerian television channel premiered the first season of the reality competition series with the same name as the release which includes the track 'Chocolate Girl' on February 9, 2020?",DStv channel 198,multi-hop,"The question requires multiple steps: identifying the release with 'Chocolate Girl', determining the reality series with the same name, and then finding the Nigerian TV channel that premiered it on the given date. This involves connecting information from different sources."
de7112c53c,In which town in west Cornwall is the person known by the alias Katharine Lee buried?,Lelant,multi-hop,The question requires first identifying the person associated with the alias 'Katharine Lee' and then determining the town in west Cornwall where that person is buried. This involves multiple steps of reasoning and connecting information.
2c5d9561d6,"What is the name of the school in Decatur, Georgia, where the writer of the lyrics for ""Everything in Its Own Time"" first met her future Indigo Girls bandmate Amy Ray?",Laurel Ridge Elementary School,multi-hop,"The question requires first identifying the lyricist of 'Everything in Its Own Time' (Emily Saliers of Indigo Girls, sharing authorship with Amy Ray), then determining where she first met Amy Ray at a Decatur, Georgia school. This involves multiple steps of connected factual knowledge."
9cfafaaa9b,"Which Lebanese magazine was sued by the artist who recorded the song 'Shou Mahdoumi' for spreading false news, intimidation and slander?",Nadine,multi-hop,The question requires identifying the artist of 'Shou Mahdoumi' first (a one-hop step) and then determining which Lebanese magazine was sued by that artist (a second hop). This multi-step reasoning necessitates connecting two distinct pieces of information.
3992356664,Which band played on the song 'Johnny Come Lately' on the album by Steve Earle which includes the track 'Little Sister'?,The Pogues,multi-hop,"The question requires identifying the album by Steve Earle that includes 'Little Sister', confirming it contains 'Johnny Come Lately', and then determining the band associated with the latter track. This involves multiple steps of connected information retrieval."
0932084b4a,"What is the name of the train line that had a special limited edition train with the same name as the video game where the topic 'Splats' appears running from November 14, 2016 to December 17, 2016?",Keikyu Airport line,multi-hop,"The question requires identifying a video game associated with 'Splats', then connecting it to a train line's limited edition train during specific dates. Multiple steps of reasoning and cross-referencing are needed."
